DATE,Server Name,Data IN,Data OUT,Total
03-29-2017,vpc-prod-vertex21,291.12GiB,400.77GiB,691.89GiB
03-29-2017,vpc-prod-vertex23,310.14GiB,426.35GiB,736.49GiB
03-29-2017,vpc-prod-vertex24,293.60GiB,404.20GiB,697.79GiB
03-29-2017,vpc-prod-vertex25,312.84GiB,430.26GiB,743.09GiB
03-29-2017,vpc-prod-vertex26,304.83GiB,419.12GiB,723.95GiB
03-29-2017,vpc-prod-vertex28,304.03GiB,418.54GiB,722.57GiB
03-29-2017,vpc-prod-vertex29,279.34GiB,384.73GiB,664.07GiB
03-29-2017,vpc-prod-vertex31,318.38GiB,437.72GiB,756.10GiB
03-29-2017,vpc-prod-vertex32,308.16GiB,423.92GiB,732.08GiB
03-29-2017,vpc-prod-vertex33,288.15GiB,396.59GiB,684.74GiB
03-29-2017,vpc-prod-vertex34,318.96GiB,438.52GiB,757.48GiB
03-29-2017,vpc-prod-vertex35,304.98GiB,419.51GiB,724.50GiB
03-29-2017,vpc-prod-vertex36,300.37GiB,412.85GiB,713.22GiB
03-29-2017,vpc-prod-vertex38,286.32GiB,394.30GiB,680.62GiB
03-29-2017,vpc-prod-vertex39,308.84GiB,424.56GiB,733.40GiB
03-29-2017,vpc-prod-vertex40,315.35GiB,433.57GiB,748.92GiB
03-29-2017,vpc-prod-vertex41,305.61GiB,420.37GiB,725.98GiB
03-29-2017,vpc-prod-vertex42,295.25GiB,406.38GiB,701.63GiB
03-29-2017,vpc-prod-vertex43,314.52GiB,432.44GiB,746.96GiB
03-29-2017,vpc-prod-vertex44,304.05GiB,418.27GiB,722.32GiB
03-29-2017,vpc-prod-vertex45,283.81GiB,390.70GiB,674.51GiB
03-29-2017,vpc-prod-vertex46,308.80GiB,424.79GiB,733.59GiB
03-29-2017,vpc-prod-vertex47,288.18GiB,396.86GiB,685.04GiB
03-29-2017,vpc-prod-vertex49,318.84GiB,438.38GiB,757.21GiB
03-29-2017,vpc-prod-vertex52,300.34GiB,413.48GiB,713.83GiB
03-29-2017,vpc-prod-vertex55,301.66GiB,415.28GiB,716.94GiB
03-29-2017,vpc-prod-vertex01-usw,443.57GiB,881.08GiB,1.29TiB
03-29-2017,vpc-prod-vertex02-usw,445.68GiB,885.46GiB,1.30TiB
03-29-2017,vpc-prod-vertex03-usw,441.08GiB,876.10GiB,1.29TiB
03-29-2017,vpc-prod-vertex04-usw,447.85GiB,889.67GiB,1.31TiB
03-29-2017,vpc-prod-vertex05-usw,453.64GiB,881.83GiB,1.30TiB
03-29-2017,vpc-prod-vertex06-usw,455.46GiB,885.62GiB,1.31TiB
03-29-2017,vpc-prod-vertex07-usw,454.96GiB,884.42GiB,1.31TiB
03-29-2017,vpc-prod-vertex08-usw,453.95GiB,882.62GiB,1.31TiB
03-29-2017,vpc-prod-vertex09-usw,446.79GiB,887.35GiB,1.30TiB
03-29-2017,vpc-prod-vertex10-usw,445.64GiB,885.41GiB,1.30TiB
03-29-2017,vpc-prod-vertex11-usw,447.33GiB,888.40GiB,1.30TiB
03-29-2017,vpc-prod-vertex12-usw,444.95GiB,883.94GiB,1.30TiB
03-29-2017,vpc-prod-vertex13-usw,444.41GiB,882.73GiB,1.30TiB
03-29-2017,vpc-prod-vertex14-usw,446.63GiB,887.39GiB,1.30TiB
03-29-2017,vpc-prod-vertex15-usw,444.27GiB,882.48GiB,1.30TiB
03-29-2017,vpc-prod-vertex16-usw,444.96GiB,884.15GiB,1.30TiB
