DATE,Server Name,Data IN,Data OUT,Total
04-04-17,vpc-prod-vertex21,266.71GiB,364.29GiB,631.00GiB
04-04-17,vpc-prod-vertex23,281.55GiB,384.22GiB,665.76GiB
04-04-17,vpc-prod-vertex24,268.54GiB,366.78GiB,635.32GiB
04-04-17,vpc-prod-vertex25,284.05GiB,387.74GiB,671.79GiB
04-04-17,vpc-prod-vertex26,279.11GiB,380.93GiB,660.04GiB
04-04-17,vpc-prod-vertex28,278.24GiB,380.06GiB,658.31GiB
04-04-17,vpc-prod-vertex29,262.45GiB,358.66GiB,621.12GiB
04-04-17,vpc-prod-vertex31,287.25GiB,392.03GiB,679.28GiB
04-04-17,vpc-prod-vertex32,280.60GiB,383.10GiB,663.70GiB
04-04-17,vpc-prod-vertex33,262.25GiB,358.14GiB,620.39GiB
04-04-17,vpc-prod-vertex34,288.14GiB,393.24GiB,681.38GiB
04-04-17,vpc-prod-vertex35,279.70GiB,381.79GiB,661.49GiB
04-04-17,vpc-prod-vertex36,268.51GiB,366.36GiB,634.87GiB
04-04-17,vpc-prod-vertex38,266.82GiB,364.58GiB,631.40GiB
04-04-17,vpc-prod-vertex39,277.56GiB,378.75GiB,656.30GiB
04-04-17,vpc-prod-vertex40,284.95GiB,388.87GiB,673.82GiB
04-04-17,vpc-prod-vertex41,279.01GiB,380.89GiB,659.91GiB
04-04-17,vpc-prod-vertex42,269.38GiB,367.89GiB,637.28GiB
04-04-17,vpc-prod-vertex43,285.56GiB,389.74GiB,675.29GiB
04-04-17,vpc-prod-vertex44,278.20GiB,379.80GiB,658.00GiB
04-04-17,vpc-prod-vertex45,258.97GiB,353.71GiB,612.69GiB
04-04-17,vpc-prod-vertex46,281.07GiB,383.70GiB,664.77GiB
04-04-17,vpc-prod-vertex47,268.26GiB,366.55GiB,634.81GiB
04-04-17,vpc-prod-vertex49,288.23GiB,393.36GiB,681.59GiB
04-04-17,vpc-prod-vertex50,278.89GiB,380.70GiB,659.59GiB
04-04-17,vpc-prod-vertex52,275.78GiB,376.70GiB,652.47GiB
04-04-17,vpc-prod-vertex53,282.09GiB,384.96GiB,667.05GiB
04-04-17,vpc-prod-vertex55,277.06GiB,378.44GiB,655.50GiB
04-04-2017,vpc-prod-vertex01-usw,437.50GiB,876.65GiB,1.28TiB
04-04-2017,vpc-prod-vertex02-usw,434.93GiB,871.61GiB,1.28TiB
04-04-2017,vpc-prod-vertex03-usw,432.45GiB,866.54GiB,1.27TiB
04-04-2017,vpc-prod-vertex04-usw,435.19GiB,872.01GiB,1.28TiB
04-04-2017,vpc-prod-vertex05-usw,445.39GiB,873.09GiB,1.29TiB
04-04-2017,vpc-prod-vertex06-usw,445.20GiB,872.93GiB,1.29TiB
04-04-2017,vpc-prod-vertex07-usw,443.79GiB,869.90GiB,1.28TiB
04-04-2017,vpc-prod-vertex08-usw,443.47GiB,869.57GiB,1.28TiB
04-04-2017,vpc-prod-vertex09-usw,435.28GiB,872.05GiB,1.28TiB
04-04-2017,vpc-prod-vertex10-usw,436.11GiB,874.00GiB,1.28TiB
04-04-2017,vpc-prod-vertex11-usw,437.24GiB,875.98GiB,1.28TiB
04-04-2017,vpc-prod-vertex12-usw,435.04GiB,871.73GiB,1.28TiB
04-04-2017,vpc-prod-vertex13-usw,434.45GiB,870.62GiB,1.27TiB
04-04-2017,vpc-prod-vertex14-usw,436.36GiB,874.50GiB,1.28TiB
04-04-2017,vpc-prod-vertex15-usw,434.93GiB,871.51GiB,1.28TiB
04-04-2017,vpc-prod-vertex16-usw,435.18GiB,872.17GiB,1.28TiB
