DATE,Server Name,Data IN,Data OUT,Total
04-03-17,vpc-prod-vertex21,280.57GiB,381.38GiB,661.95GiB
04-03-17,vpc-prod-vertex23,296.12GiB,402.34GiB,698.46GiB
04-03-17,vpc-prod-vertex24,282.69GiB,384.27GiB,666.96GiB
04-03-17,vpc-prod-vertex25,298.13GiB,405.12GiB,703.25GiB
04-03-17,vpc-prod-vertex26,292.45GiB,397.34GiB,689.79GiB
04-03-17,vpc-prod-vertex28,294.48GiB,400.30GiB,694.79GiB
04-03-17,vpc-prod-vertex29,280.28GiB,381.03GiB,661.31GiB
04-03-17,vpc-prod-vertex31,302.19GiB,410.59GiB,712.77GiB
04-03-17,vpc-prod-vertex32,296.10GiB,402.41GiB,698.51GiB
04-03-17,vpc-prod-vertex33,275.08GiB,373.91GiB,648.99GiB
04-03-17,vpc-prod-vertex34,302.19GiB,410.58GiB,712.76GiB
04-03-17,vpc-prod-vertex35,294.53GiB,400.23GiB,694.75GiB
04-03-17,vpc-prod-vertex36,279.69GiB,379.98GiB,659.66GiB
04-03-17,vpc-prod-vertex38,283.99GiB,386.07GiB,670.06GiB
04-03-17,vpc-prod-vertex39,289.82GiB,393.75GiB,683.57GiB
04-03-17,vpc-prod-vertex40,299.34GiB,406.70GiB,706.05GiB
04-03-17,vpc-prod-vertex41,293.13GiB,398.36GiB,691.50GiB
04-03-17,vpc-prod-vertex42,283.23GiB,384.97GiB,668.20GiB
04-03-17,vpc-prod-vertex43,299.54GiB,407.01GiB,706.55GiB
04-03-17,vpc-prod-vertex44,293.28GiB,398.57GiB,691.86GiB
04-03-17,vpc-prod-vertex45,272.41GiB,370.32GiB,642.73GiB
04-03-17,vpc-prod-vertex46,295.38GiB,401.42GiB,696.80GiB
04-03-17,vpc-prod-vertex47,284.58GiB,386.90GiB,671.48GiB
04-03-17,vpc-prod-vertex49,303.04GiB,411.74GiB,714.78GiB
04-03-17,vpc-prod-vertex50,293.75GiB,399.18GiB,692.93GiB
04-03-17,vpc-prod-vertex52,291.15GiB,395.79GiB,686.94GiB
04-03-17,vpc-prod-vertex53,296.31GiB,402.60GiB,698.91GiB
04-03-17,vpc-prod-vertex55,293.36GiB,398.78GiB,692.14GiB
04-03-2017,vpc-prod-vertex01-usw,426.62GiB,856.53GiB,1.25TiB
04-03-2017,vpc-prod-vertex02-usw,424.43GiB,852.34GiB,1.25TiB
04-03-2017,vpc-prod-vertex03-usw,424.23GiB,851.82GiB,1.25TiB
04-03-2017,vpc-prod-vertex04-usw,423.77GiB,850.95GiB,1.24TiB
04-03-2017,vpc-prod-vertex05-usw,433.33GiB,851.14GiB,1.25TiB
04-03-2017,vpc-prod-vertex06-usw,433.45GiB,851.72GiB,1.26TiB
04-03-2017,vpc-prod-vertex07-usw,436.09GiB,856.68GiB,1.26TiB
04-03-2017,vpc-prod-vertex08-usw,432.76GiB,850.32GiB,1.25TiB
04-03-2017,vpc-prod-vertex09-usw,424.58GiB,852.32GiB,1.25TiB
04-03-2017,vpc-prod-vertex10-usw,426.63GiB,856.80GiB,1.25TiB
04-03-2017,vpc-prod-vertex11-usw,423.99GiB,851.16GiB,1.25TiB
04-03-2017,vpc-prod-vertex12-usw,425.30GiB,853.97GiB,1.25TiB
04-03-2017,vpc-prod-vertex13-usw,426.81GiB,856.97GiB,1.25TiB
04-03-2017,vpc-prod-vertex14-usw,423.92GiB,851.30GiB,1.25TiB
04-03-2017,vpc-prod-vertex15-usw,425.23GiB,853.81GiB,1.25TiB
04-03-2017,vpc-prod-vertex16-usw,427.00GiB,857.67GiB,1.25TiB
